Question,Answer
How many years of work experience do you have with SendGrid?,0
How many years of work experience do you have with TypeScript?,06
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with C (Programming Language)?,0
How many years of work experience do you have with Firebase?,06
Company,
How many years of work experience do you have with Microservices?,00
How many years of work experience do you have with PostgreSQL?,1
How many years of work experience do you have with Web Content Accessibility Guidelines (WCAG)?,0
How many years of work experience do you have with Angular?,0
How many years of work experience do you have with Jira?,0
How many years of work experience do you have with Back-End Web Development?,06
How many years of work experience do you have with Python (Programming Language)?,1
