Login Date,IP Address,User Agent,Login Type
Wed May 15 14:41:21 UTC 2024,2a01:9700:1aee:6b00:ed95:f7d4:5db0:68d3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,Login
Wed May 15 14:41:25 UTC 2024,2a01:9700:1aee:6b00:ed95:f7d4:5db0:68d3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,Login
Sat May 18 21:49:01 UTC 2024,2a01:9700:1aee:6b00:a58:4735:ad94:ea19,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Login
Tue May 21 11:47:47 UTC 2024,2a01:9700:1390:cb00:f0c5:26a9:a5cd:7e32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Wed May 22 14:57:36 UTC 2024,2a01:9700:1390:cb00:8439:477f:1c96:7145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Wed May 22 14:57:40 UTC 2024,2a01:9700:1390:cb00:8439:477f:1c96:7145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Thu May 23 15:55:13 UTC 2024,2a00:18d8:9a:ae0d:e6d5:54f5:f604:778b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Login
Fri May 24 08:21:11 UTC 2024,2a01:9700:1390:cb00:59f8:64a4:8d83:9ff5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Fri May 24 08:21:15 UTC 2024,2a01:9700:1390:cb00:59f8:64a4:8d83:9ff5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Sun May 26 13:08:21 UTC 2024,2a01:9700:1390:cb00:c1:1733:d4a4:580,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Thu May 30 16:05:31 UTC 2024,2a01:9700:1f44:4b00:b8df:9f9f:8f08:5e06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Thu May 30 16:05:35 UTC 2024,2a01:9700:1f44:4b00:b8df:9f9f:8f08:5e06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Tue Jun 11 20:20:53 UTC 2024,2a01:9700:16d3:2700:14d2:6c68:fcfe:d01f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Tue Jun 11 20:20:57 UTC 2024,2a01:9700:16d3:2700:14d2:6c68:fcfe:d01f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Tue Jun 18 21:55:27 UTC 2024,2a01:9700:10d7:4a00:e573:af9a:f2b4:1d15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Tue Jun 18 21:55:31 UTC 2024,2a01:9700:10d7:4a00:e573:af9a:f2b4:1d15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Fri Jun 28 23:41:42 UTC 2024,2a01:9700:10d4:8100:2bb6:f7d8:cef1:a2d9,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.953 samsung_SM-A336E:android_14,Login
Sat Jun 29 00:12:55 UTC 2024,2a01:9700:10d4:8100:b85e:47a3:ff3f:5e97,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0@linkedin/windows-native-app/edge-webview2",Login
Thu Jul 04 21:36:14 UTC 2024,2a01:9700:3529:a600:484b:159c:1303:acc2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Thu Jul 18 12:19:24 UTC 2024,2a01:9700:3529:a600:94dc:93f3:4cf9:b440,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Wed Jul 31 22:37:00 UTC 2024,2a01:9700:352d:2700:5909:51f2:d62d:51a1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Login
Wed Jul 31 22:37:03 UTC 2024,2a01:9700:352d:2700:5909:51f2:d62d:51a1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Login
Thu Sep 05 22:59:03 UTC 2024,2a01:9700:352b:5300:38b9:7fc0:b06a:c951,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Thu Sep 19 08:46:00 UTC 2024,94.249.50.243,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Thu Jan 16 13:49:40 UTC 2025,2a01:9700:356e:5b00:e98c:94cc:8db5:b7aa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Login
Thu Jan 30 15:28:44 UTC 2025,2a01:9700:356e:5b00:a6bb:ee9c:292b:5e71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Login
Tue Feb 04 06:02:25 UTC 2025,2a01:9700:356e:5b00:a6bb:ee9c:292b:5e71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Login
Wed Feb 26 10:49:02 UTC 2025,2a01:9700:3545:6900:1e42:9b31:d771:d717,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1038 samsung_SM-A336E:android_14,Login
Wed Feb 26 11:29:43 UTC 2025,2a01:9700:3545:6900:5a3f:58ac:a8fb:451b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Tue Mar 18 15:02:25 UTC 2025,2a01:9700:3545:6900:3eb1:e8ed:5c3d:ef1c,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1045.1 samsung_SM-A336E:android_14,Login
Mon Jun 02 16:35:34 UTC 2025,2a01:9700:3547:e300:84d1:ee98:23eb:f900,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Wed Jun 25 17:11:54 UTC 2025,2a01:9700:3573:9f00:4436:bc40:7479:e072,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Thu Jul 03 00:15:44 UTC 2025,2a01:9700:3573:9f00:357b:64ab:bf5b:294,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Tue Jul 08 16:19:54 UTC 2025,2a01:9700:3573:9f00:b155:8b6a:e4c2:9d05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Wed Aug 20 17:40:24 UTC 2025,176.29.110.62,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1105 samsung_SM-A336E:android_15,Login
Wed Sep 24 21:34:53 UTC 2025,2a01:9700:3530:dd00:3067:c471:47ca:b7a4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Login
Tue Nov 18 19:17:19 UTC 2025,2a01:9700:3525:6c00:ebec:8b72:7518:edc8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Login
Sat Nov 29 06:21:57 UTC 2025,2a01:9700:3525:6c00:11d2:4424:cb4f:5530,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Login
Sat Nov 29 06:22:02 UTC 2025,2a01:9700:3525:6c00:11d2:4424:cb4f:5530,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0@linkedin/windows-native-app/edge-webview2",Login
Wed Jan 07 07:15:30 UTC 2026,109.237.200.251,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Sun Jan 11 08:23:56 UTC 2026,109.237.200.251,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Thu Jan 15 10:17:32 UTC 2026,109.237.200.251,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
