Date,Type,Link
2026-05-17 07:49:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7461404431943704576
2026-05-10 13:12:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7459209870878363649
2026-05-10 05:30:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458910999501484032
2026-05-09 19:17:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458799741129306112
2026-05-05 13:08:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457351063365468161
2026-05-04 13:40:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454487831298756608
2026-05-03 09:11:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7456612315510083584
2026-04-27 11:19:38,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454275220233711616
2026-04-20 11:47:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7451917760864935936
2026-04-19 08:24:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7451526565558894592
2026-04-01 14:15:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445035847411904512
2026-02-28 07:37:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7429563352210796545
2026-01-24 19:48:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420836504207347713
2026-01-20 08:00:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414334231088132097?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7414334231088132097%2C7419276138566373376%29
2026-01-18 07:41:17,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414334231088132097?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7414334231088132097%2C7418423750045597696%29
2026-01-17 12:58:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414334231088132097?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7414334231088132097%2C7414578413937635329%29
2026-01-17 12:58:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414334231088132097?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7414334231088132097%2C7414346421295894531%29
2026-01-17 12:58:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414334231088132097
2026-01-12 08:17:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7416202734527324161
2026-01-07 07:39:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7412870295075659776
2026-01-07 07:19:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7411378566627520512
2026-01-07 07:17:17,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414395763310469121
2025-12-07 10:09:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7403297218742341632
2025-11-24 19:19:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7398791976629850112
2025-11-18 19:22:16,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392854243851911168
2024-07-05 19:02:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7215037369501057024
2024-07-02 11:40:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7213865686194884609
2024-06-19 07:52:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208759608604008448
