Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu May 02 13:03:32 UTC 2024,176.29.169.211,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Hashemite Kingdom of Jordan,EMAIL_PIN_CHALLENGE
Thu May 02 13:03:32 UTC 2024,176.29.169.211,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Hashemite Kingdom of Jordan,EMAIL_PIN_CHALLENGE
Thu May 02 13:04:05 UTC 2024,176.29.169.211,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Hashemite Kingdom of Jordan,EMAIL_PIN_CHALLENGE
Sat Jun 22 00:36:27 UTC 2024,2a01:9700:10d7:4a00:1e:5a21:c4e3:2d7c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,REHAB_RESTRICTION_CHALLENGE
Sat Jun 22 00:36:28 UTC 2024,2a01:9700:10d7:4a00:1e:5a21:c4e3:2d7c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,REHAB_RESTRICTION_CHALLENGE
Sat Jun 22 07:28:25 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 07:29:40 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 07:29:41 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,REHAB_RESTRICTION_CHALLENGE
Sat Jun 22 07:29:43 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,REHAB_RESTRICTION_CHALLENGE
Sat Jun 22 07:29:46 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 07:29:59 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 07:30:11 UTC 2024,2a01:9700:1f9f:8e00:246c:227a:6a0e:b06d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
