score,status,title,company,location,workplace_type,remote,source,published_at,matched_skills,missing_skills,salary,url,first_seen,application_warning
81,New,Full-Stack Developer,Kodify Media Group,Worldwide,Remote,True,Himalayas,2026-07-28,"JavaScript, TypeScript, React, Next.js, Node.js, MongoDB, Redux, Git, Docker","aws, graphql, java",USD annual,https://himalayas.app/companies/kodify-media-group/jobs/full-stack-developer,2026-07-29T08:12:48+03:00,
68,New,Full Stack Engineer,Sukljian Trading & Marketing Co.,"Amman, Amman, Jordan",Hybrid,False,LinkedIn Jobs,2026-07-25,"TypeScript, React, Node.js, NestJS, REST APIs, PostgreSQL, Docker",,,https://jo.linkedin.com/jobs/view/full-stack-engineer-at-sukljian-trading-marketing-co-4442306209,2026-07-29T08:12:48+03:00,
60,New,Full Stack Developer,Sowelo Consulting,Anywhere in the World,Remote,True,We Work Remotely,2026-06-30,"JavaScript, TypeScript, React","aws, java, golang, ruby, angular",,https://weworkremotely.com/remote-jobs/sowelo-consulting-full-stack-developer,2026-07-27T08:00:06+03:00,
59,New,AI Software Engineer- AI Hub - Amman,EY,"Amman, Amman, Jordan",Hybrid,False,LinkedIn Jobs,2026-07-25,"TypeScript, React, Next.js, Node.js, PostgreSQL, GitHub, Docker",kubernetes,,https://jo.linkedin.com/jobs/view/ai-software-engineer-ai-hub-amman-at-ey-4385054131,2026-07-29T08:12:48+03:00,
58,Manual Review,Web Developer,Canonical,Home based - EMEA,Remote,True,Greenhouse/canonical,2026-07-16,"JavaScript, TypeScript, React, Git, SCSS",java,,https://job-boards.greenhouse.io/canonical/jobs/2804965,2026-07-27T21:28:28+03:00,Manual-only application: Canonical's application form requires the applicant's own words and states that AI-generated content can disqualify the application.
53,New,Full-Stack Developer (React + AWS),Base.com,Anywhere in the World,Remote,True,We Work Remotely,2026-06-30,"TypeScript, React, Tailwind CSS, Git, GitHub",aws,,https://weworkremotely.com/remote-jobs/base-com-full-stack-developer-react-aws,2026-07-27T08:00:06+03:00,
51,New,Design Engineer,Supabase,Remote,Remote,True,Ashby/Supabase,2026-04-28,"React, Next.js, Tailwind CSS",,,https://jobs.ashbyhq.com/supabase/2e6ee4b3-6573-477f-9c95-d1221cd9f9f9,2026-07-27T22:05:06+03:00,
49,New,Open Source Design Engineer,Arize Ai,Anywhere in the World,Remote,True,We Work Remotely,2026-06-30,"TypeScript, React",,,https://weworkremotely.com/remote-jobs/arize-ai-open-source-design-engineer,2026-07-27T21:28:28+03:00,
46,New,Software Developer - Frontend,MedNet Jordan Co. W.L.L,"Amman, Amman, Jordan",Hybrid,False,LinkedIn Jobs,2026-07-09,"JavaScript, React, Git, HTML5, CSS3","java, angular",,https://jo.linkedin.com/jobs/view/software-developer-frontend-at-mednet-jordan-co-w-l-l-4438608112,2026-07-29T08:12:48+03:00,
46,New,Software Engineer: IaC Platform Experience,Supabase,Remote,Remote,True,Ashby/Supabase,2026-05-13,"TypeScript, GitHub",,,https://jobs.ashbyhq.com/supabase/b7206c22-979f-444a-809b-e70d9ee23c7f,2026-07-28T18:01:18+03:00,
44,New,#hiring #fullstackdeveloper #reactjs #nodejs #remotejobs # ...,Hiring post on LinkedIn,Remote — location eligibility not stated,Remote,True,LinkedIn Posts,2026-07-23,"TypeScript, Next.js, Docker",aws,,https://www.linkedin.com/posts/nidhi-kundaliya-3b37251a3_hiring-fullstackdeveloper-reactjs-activity-7486036286047150081-0HRP,2026-07-28T18:01:18+03:00,
40,New,Software Engineer,Maqsam,"Amman, Amman, Jordan",Hybrid,False,LinkedIn Jobs,2026-07-21,"JavaScript, PostgreSQL","java, ruby",,https://jo.linkedin.com/jobs/view/software-engineer-at-maqsam-4443342057,2026-07-29T08:12:48+03:00,
